date,shrub_num,aspect,tag_num,treatment,species,counts
7/9/19,1,north,150,shrub,GEUROS,4
7/16/19,1,north,150,shrub,GEUROS,0
7/23/19,1,north,150,shrub,GEUROS,0
7/30/19,1,north,150,shrub,GEUROS,0
8/6/19,1,north,150,shrub,GEUROS,0
8/13/19,1,north,150,shrub,GEUROS,0
8/19/19,1,north,150,shrub,GEUROS,0
7/9/19,1,north,150,shrub,ARTSCO,0
7/16/19,1,north,150,shrub,ARTSCO,0
7/23/19,1,north,150,shrub,ARTSCO,0
7/30/19,1,north,150,shrub,ARTSCO,0
8/6/19,1,north,150,shrub,ARTSCO,0
8/13/19,1,north,150,shrub,ARTSCO,0
8/19/19,1,north,150,shrub,ARTSCO,0
7/9/19,1,north,150,shrub,POLBIS,0
7/16/19,1,north,150,shrub,POLBIS,0
7/23/19,1,north,150,shrub,POLBIS,0
7/30/19,1,north,150,shrub,POLBIS,0
8/6/19,1,north,150,shrub,POLBIS,0
8/13/19,1,north,150,shrub,POLBIS,0
8/19/19,1,north,150,shrub,POLBIS,0
7/9/19,1,north,150,shrub,KOBMYO,0
7/16/19,1,north,150,shrub,KOBMYO,4
7/23/19,1,north,150,shrub,KOBMYO,2
7/30/19,1,north,150,shrub,KOBMYO,0
8/6/19,1,north,150,shrub,KOBMYO,0
8/13/19,1,north,150,shrub,KOBMYO,0
8/19/19,1,north,150,shrub,KOBMYO,0
7/9/19,1,north,150,shrub,ERIPIN,0
7/16/19,1,north,150,shrub,ERIPIN,0
7/23/19,1,north,150,shrub,ERIPIN,0
7/30/19,1,north,150,shrub,ERIPIN,0
8/6/19,1,north,150,shrub,ERIPIN,0
8/13/19,1,north,150,shrub,ERIPIN,0
8/19/19,1,north,150,shrub,ERIPIN,0
7/9/19,1,north,150,shrub,LLOSER,0
7/16/19,1,north,150,shrub,LLOSER,0
7/23/19,1,north,150,shrub,LLOSER,0
7/30/19,1,north,150,shrub,LLOSER,0
8/6/19,1,north,150,shrub,LLOSER,0
8/13/19,1,north,150,shrub,LLOSER,0
8/19/19,1,north,150,shrub,LLOSER,0
7/9/19,1,north,150,shrub,ERISIM,0
